word,werewolf_freq,villager_freq,log_ratio,werewolf_count,villager_count
dictate,0.0007127583749109052,0.0,10.0,1,0
"sharing,",0.0014255167498218105,0.0,10.0,2,0
others',0.002851033499643621,0.0,10.0,4,0
gain,0.0007127583749109052,0.0,10.0,1,0
mine.,0.0007127583749109052,0.0,10.0,1,0
effectively.,0.0007127583749109052,0.0,10.0,1,0
promoting,0.0042765502494654314,0.0,10.0,6,0
heavily,0.0007127583749109052,0.0,10.0,1,0
"suspicious,",0.0007127583749109052,0.0,10.0,1,0
counteract,0.0007127583749109052,0.0,10.0,1,0
helps,0.002851033499643621,0.0,10.0,4,0
pressure,0.0014255167498218105,0.0,10.0,2,0
cooperative,0.0014255167498218105,0.0,10.0,2,0
appearing,0.0007127583749109052,0.0,10.0,1,0
clarify,0.0007127583749109052,0.0,10.0,1,0
action.,0.0007127583749109052,0.0,10.0,1,0
appear,0.0042765502494654314,0.0,10.0,6,0
misunderstandings,0.0007127583749109052,0.0,10.0,1,0
common,0.0007127583749109052,0.0,10.0,1,0
innocent,0.0007127583749109052,0.0,10.0,1,0
collaborative,0.0007127583749109052,0.0,10.0,1,0
credibility.,0.0007127583749109052,0.0,10.0,1,0
deflecting,0.0007127583749109052,0.0,10.0,1,0
confuse,0.0007127583749109052,0.0,10.0,1,0
situation.,0.0007127583749109052,0.0,10.0,1,0
keeping,0.0014255167498218105,0.0,10.0,2,0
importance,0.0007127583749109052,0.0,10.0,1,0
words,0.0007127583749109052,0.0,10.0,1,0
spotlight,0.0007127583749109052,0.0,10.0,1,0
unnecessary,0.0007127583749109052,0.0,10.0,1,0
around,0.0007127583749109052,0.0,10.0,1,0
cooperative.,0.0021382751247327157,0.0,10.0,3,0
"scrutinized,",0.0007127583749109052,0.0,10.0,1,0
fostering,0.0007127583749109052,0.0,10.0,1,0
"suspiciously,",0.0007127583749109052,0.0,10.0,1,0
player.,0.0007127583749109052,0.0,10.0,1,0
express,0.0007127583749109052,0.0,10.0,1,0
weaknesses.,0.0007127583749109052,0.0,10.0,1,0
player4.,0.0007127583749109052,0.0,10.0,1,0
off,0.0007127583749109052,0.0,10.0,1,0
appearance,0.0007127583749109052,0.0,10.0,1,0
other's,0.0007127583749109052,0.0,10.0,1,0
atmosphere,0.0007127583749109052,0.0,10.0,1,0
fear,0.0007127583749109052,0.0,10.0,1,0
advocate,0.0007127583749109052,0.0,10.0,1,0
unity.,0.0007127583749109052,0.0,10.0,1,0
delay,0.0007127583749109052,0.0,10.0,1,0
where,0.0007127583749109052,0.0,10.0,1,0
use,0.0007127583749109052,0.0,10.0,1,0
environment,0.0007127583749109052,0.0,10.0,1,0
themselves,0.0014255167498218105,0.0,10.0,2,0
behaviors,0.0007127583749109052,0.0,10.0,1,0
those,0.002851033499643621,0.0,10.0,4,0
ourselves.,0.0007127583749109052,0.0,10.0,1,0
safe,0.0007127583749109052,0.0,10.0,1,0
interesting,0.0007127583749109052,0.0,10.0,1,0
far,0.0007127583749109052,0.0,10.0,1,0
later.,0.0007127583749109052,0.0,10.0,1,0
stall,0.0007127583749109052,0.0,10.0,1,0
useful,0.0007127583749109052,0.0,10.0,1,0
taking,0.0007127583749109052,0.0,10.0,1,0
"strategy,",0.0007127583749109052,0.0,10.0,1,0
guiding,0.0014255167498218105,0.0,10.0,2,0
underlying,0.0007127583749109052,0.0,10.0,1,0
draw,0.0007127583749109052,0.0,10.0,1,0
"evaluation,",0.0007127583749109052,0.0,10.0,1,0
idea,0.002851033499643621,0.0,10.0,4,0
"contributions,",0.0007127583749109052,0.0,10.0,1,0
address,0.0007127583749109052,0.0,10.0,1,0
dilute,0.0007127583749109052,0.0,10.0,1,0
anyone,0.0014255167498218105,0.0,10.0,2,0
point,0.0007127583749109052,0.0,10.0,1,0
reactions.,0.0007127583749109052,0.0,10.0,1,0
conflict.,0.0007127583749109052,0.0,10.0,1,0
hide,0.0007127583749109052,0.0,10.0,1,0
fingers,0.0007127583749109052,0.0,10.0,1,0
time,0.0007127583749109052,0.0,10.0,1,0
